Section,Question,Answer
Digital Driver Licence,"How secure is a digital driver licence?","The security of your private information is our top priority. Your digital driver licence will be secure in the app. It can only be seen by you and whoever you choose to share it with. To protect your privacy, you decide if you want to share all - or just some - of your licence data. You control the personal information you share with licence verifiers based on why you are using it. 
There are 3 levels of info that you can share with your digital driver licence:
Full licence: This view shows info about your right to drive. You can share this view when you need to show police things like licence status, classes, or restrictions.
Identity: This shows your basic ID info — name, address, and signature.
Proof of age: This view shows that you’re over 18. It won’t show your exact age or date of birth. 
In addition, the app is protected by the security features of your phone, including biometrics such as thumb or face scan. When first logging in to the myVicRoads app, you'll also need to switch on two-step verification and set a unique pin code. These additional protections ensure that logging into your myVicRoads account is secure (even if your username and password are compromised). 

If you lose your physical licence, you can still access your licence via your phone.

We have tested both apps using stringent security and penetration tests. We will keep testing the app after the digital licence has been released."
Digital Driver Licence,I'm concerned about safety and privacy as someone who has experienced family violence. How can I protect my personal details?,"Customers impacted by family violence can contact us through our dedicated phone line or email:
Phone: 1300 031 292 (business hours)
Email: assistance@roads.vic.gov.au
You can leave your contact number if the telephone line is unavailable or unattended. Our service also supports agencies acting on behalf of affected persons. "
Digital Driver Licence,Can I still use my physical licence card if I don’t have a smartphone?,"Yes – all licence holders will continue to be issued with a physical card. The digital driver licence doesn’t replace your physical licence and is optional. If you don’t have a smartphone, you’ll still be able to use your physical licence. You will need to renew your licence as usual to ensure it remains current."
Digital Driver Licence,"Once downloaded, will I be able to use my digital licence immediately at all locations where I currently present my physical licence?","In most locations, yes you will. But we ask for patience, because many establishments will still be in the process of including digital driver licence in their systems once the roll out is live. We encourage you to carry your physical licence to avoid potential issues."
Digital Driver Licence,How does my digital licence get verified?,"Licence checkers can do a quick visual check of your digital licence but can scan the QR code with their device if they need further verification.
The QR code connects to your licence record. The QR code is refreshed every two minutes, so the code is always unique. You can pull down on the screen to refresh the code.Scanning the QR code will confirm if your licence is valid."
Digital Driver Licence,Do I need to hand over my phone when my licence is being checked?,"No. If someone needs to check your licence, you don’t need to hand them your phone.Just tilt your screen towards them to show the details on your screen, or the QR code for them to scan. In the myVicRoads app, you can enlarge the code by tapping on it if you need to or pull down to refresh the screen. Always ensure you maintain control of your device and only let the verifier view your details or scan the QR code."
Digital Driver Licence,What if I need to share a copy of my licence?,"Right now, there’s no way for you to share a copy of your digital licence. Businesses shouldn’t hold onto copies of your details unless they really need to. Keeping copies of this information is a fraud risk. We don’t recommend that anyone shares screen shots of digital licences."
Digital Driver Licence,How does the hologram work?,"The hologram on a digital licence is similar to the one on a physical card. If you tilt your phone side to side, you’ll see the image move and shimmer."
Digital Driver Licence,What if an error shows when someone scans my licence?,"For now, digital licences need internet access to work. An error will appear if you or the person checking your licence has trouble connecting to the internet. If this happens, use your physical licence card for scanning instead. An error might also appear if your licence is expired, cancelled or suspended."
Digital Driver Licence,What happens if my licence status changes from Full Licence to Probationary? Will I still have a digital driver licence?,"If you change from full licence status back down to a Probationary licence, you will lose access to your digital driver licence. This is because currently only full licence holders have access to the digital driver licence. You will be able to access to your digital licence when you regain full licence status "
Digital Driver Licence,I have a digital driver licence but lost my physical licence card. Do I still need to get a replacement?,"Yes, the digital driver licence is an additional way to access your licence, it does not replace your physical licence. All Victorians are still required to have a physical licence so if you've lost your physical licence card, you will still need to order a replacement licence.
 
When you replace your licence, the licence number stays the same but the additional security card number changes, which helps prevent previous licence information from being used fraudulently. Your card number is found on the back of your new card and is automatically updated in your digital driver licence."
Digital Driver Licence,Is there a way to remove the digital licence from the myVicRoads app if I don’t want to use it?,"For Victorian full licence holders, the digital licence will automatically appears in the app, however you can choose to ‘opt out’ by toggling it off in app settings if you do not want it to appear."
Digital Driver Licence,What happens if I'm somewhere with no internet connection or phone reception?,"We recommend you carry your physical licence, especially if you are concerned about your battery, network or internet coverage. The introduction of a digital driver licence doesn’t change the obligation of some drivers (eg heavy vehicle and drivers aged less than 26) to carry their physical licence with them at all times. See compulsory carriage requirements for more information."
Digital Driver Licence,Will my digital licence update automatically?,"Your digital driver licence updates automatically in response to any changes on your licence record, such as new licence conditions or a change of address."
Digital Driver Licence,How many people have successfully used the digital driver licence in Victoria?,"The digital driver licence is now available to all Victorian full licence drivers following a successful trial in Ballarat involving more than 15,000 full licence holders, checkers, and enforcement agencies."
Digital Driver Licence,Why doesn't the app work for me?  ,"Check to see if your Operating System (OS) installed on your device needs any version updates and try again. If you’re still having trouble with using the myVicRoads app or logging in, go to How to use the myVicRoads app."
Digital Driver Licence,What is a digital licence?,"A digital licence is a quick, easy, and secure way to provide your licence status, access licencing information to verify your identity, or prove you are over 18. Your digital driver licence can be accessed directly from the myVicRoads or Service Victoria app.

You can use your digital licence: 
to prove your right to drive.
as proof you’re over 18 at licensed venues or
anywhere you need to prove your identity (such as retailers or hotels)
Using a digital licence is optional as physical licences will continue to be issued for all Victorian drivers and can continue to be used for identification purposes. "
Digital Driver Licence,How to get your digital licence?,"To get your digital driver licence, you’ll need a myVicRoads account
Download the myVicRoads app via Google Play or through the App store and log in with your myVicRoads account.
Reset your password from the login screen if you need (click ‘forgotten password’)
Follow the prompts to activate two-step verification (if this isn’t already enabled)."
Learner permit,What are the eligibility criteria for learner permit?,"To be eligible to apply for a learner permit you must:
be 16 years of age or older
have a residential address in Victoria
be medically fit to drive
not be disqualified from driving or getting a learner permit
not be currently subject to a Fines Victoria licence suspension
not have any outstanding relicensing requirements like a Licence Eligibility Order."
Learner permit,What is a learner permit?,"When you get your learner permit, you can drive a car on the road with a supervising driver.
To get your learner permit, you need to pass the Learner Permit Test."
Learner permit,How many hours of supervised driving experience must learner drivers under 21 complete before taking the drive test?,"Learner drivers under the age of 21 must complete a minimum of 120 hours of supervised driving experience, including at least 20 hours at night, before they can take the drive test. More information can be found on the 120 hours driving experience page on the Transport Victoria website."
Learner permit,How can learner drivers track their progress and learn about safe driving behaviours?,Learner drivers can track their progress and learn about safe driving behaviours through the myLearners app. More information and the app download link are available on the myLearners page.
Learner permit,What are the restrictions for learner drivers?,"Learner drivers must follow specific road laws and rules when driving with a learner permit. For more details, visit the Restrictions for learner drivers page on the Transport Victoria website."
Learner permit,Do learner drivers need to display L plates while driving?,"Yes, learner drivers must display L plates when driving a vehicle using a learner permit. Further information can be found on the Transport Victoria website."
Learner permit,Where can learner drivers find helpful information while driving with L plates?,"Learner drivers can refer to learner handbooks, which are available in a range of languages, for helpful information. These handbooks can be downloaded from the Transport Victoria website."
Learner permit, How can I get my learner permit in Victoria?,"To get your learner permit in Victoria, you need to pass the Learner Permit Test. Once you have your learner permit, you can drive a car on the road with a supervising driver."
Learner permit,What are the eligibility requirements to apply for a learner permit in Victoria?,"To be eligible for a learner permit, you must:

Be 16 years of age or older
Have a residential address in Victoria
Be medically fit to drive
Not be disqualified from driving or getting a learner permit
Not be currently subject to a Fines Victoria licence suspension
Not have any outstanding relicensing requirements, such as a Licence Eligibility Order."
Learner permit,What is the Learner Permit Test Online?,"The Learner Permit Test Online is an interactive 4-6 hour course that teaches you about road rules in Victoria and how to develop safe driving skills. At the end of the course, you’ll take a test on what you have learned. Once you pass, you can apply for your learner permit. You can enrol in the course from the age of 15 years and 11 months, but you will only be issued a learner permit when you are 16 years or older."
Learner permit,How can I take the Learner Permit Test if I don’t have access to a computer or need an interpreter?,"If you don’t have access to a computer or need an interpreter, you can take the Learner Permit Test in person at a VicRoads Customer Service Centre by making an appointment. You will need to study for the test using the Road to Solo Driving handbook, which is available on the Transport Victoria website."
Learner permit,Do I need to take the Learner Permit Test if I am converting my overseas licence?,"If you are converting your overseas driver licence to a Victorian driver licence, you may need to take the Learner Permit Test. For more details, visit the Convert your overseas licence page."
